Linux 3.19.0-28-generic (storm6) 	04/15/2016 	_x86_64_	(1 CPU)

05:19:32 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:24:46 PM     all     29.65      0.00     15.58      0.00      0.00     54.77
05:24:48 PM     all     31.44      0.00     12.89      0.00      0.00     55.67
05:24:50 PM     all     30.00      0.00     15.50      0.00      0.00     54.50
05:24:52 PM     all     29.79      0.00     14.89      0.00      0.00     55.32
05:24:54 PM     all     29.89      0.00     13.59      0.00      0.00     56.52
05:24:56 PM     all     32.99      0.00     13.20      0.00      0.00     53.81
05:24:58 PM     all     30.89      0.00     12.57      0.00      0.00     56.54
05:25:00 PM     all     32.99      0.00     14.43      0.00      0.00     52.58
05:25:02 PM     all     33.85      0.00     12.31      0.00      0.00     53.85
05:25:04 PM     all     29.95      0.00     15.46      0.00      0.00     54.59
05:25:06 PM     all     28.42      0.00     13.68      0.00      0.00     57.89
05:25:08 PM     all     34.87      0.00     13.85      0.00      0.00     51.28
05:25:10 PM     all     31.98      0.00     15.74      0.00      0.00     52.28
05:25:12 PM     all     31.63      0.00     12.76      0.00      0.00     55.61
05:25:14 PM     all     29.41      0.00     16.04      0.00      0.00     54.55
05:25:16 PM     all     28.95      0.00     15.26      0.00      0.00     55.79
05:25:18 PM     all     34.67      0.00     12.56      0.00      0.00     52.76
05:25:20 PM     all     31.47      0.00     12.69      0.00      0.00     55.84
05:25:22 PM     all     27.89      0.00     14.21      0.53      0.00     57.37
05:25:24 PM     all     27.57      0.00     14.59      0.00      0.00     57.84
05:25:26 PM     all     28.50      0.00     15.03      0.00      0.00     56.48
05:25:28 PM     all     32.12      0.00     13.99      0.00      0.00     53.89
05:25:30 PM     all     32.11      0.00     15.26      0.00      0.00     52.63
05:25:32 PM     all     28.50      0.00     16.58      0.00      0.00     54.92
05:25:34 PM     all     32.49      0.00     13.20      0.00      0.00     54.31
05:25:36 PM     all     32.11      0.00     10.53      0.00      0.00     57.37
05:25:38 PM     all     29.84      0.00     15.18      0.00      0.00     54.97
05:25:40 PM     all     33.68      0.00     12.11      0.00      0.00     54.21
05:25:42 PM     all     31.82      0.00     13.64      0.00      0.00     54.55
05:25:44 PM     all     31.96      0.00     13.40      0.00      0.00     54.64
05:25:46 PM     all     31.72      0.00     12.90      0.00      0.00     55.38
05:25:48 PM     all     30.37      0.00     15.18      0.00      0.00     54.45
05:25:50 PM     all     30.35      0.00     15.42      0.00      0.00     54.23
05:25:52 PM     all     30.21      0.00     11.98      0.52      0.00     57.29
05:25:54 PM     all     33.84      0.00     11.62      0.00      0.00     54.55
05:25:56 PM     all     26.98      0.00     15.34      0.00      0.00     57.67
05:25:58 PM     all     29.44      0.00     16.24      0.00      0.00     54.31
