Linux 3.19.0-28-generic (storm6) 	04/15/2016 	_x86_64_	(1 CPU)

12:35:47 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:40:33 AM     all     24.87      0.00     11.68      0.51      0.00     62.94
12:40:35 AM     all     26.00      0.00     13.00      0.00      0.00     61.00
12:40:37 AM     all     27.55      0.00      8.67      0.00      0.00     63.78
12:40:39 AM     all     29.59      0.00     10.20      0.00      0.00     60.20
12:40:41 AM     all     24.00      0.00     13.50      0.00      0.00     62.50
12:40:43 AM     all     26.53      0.00     12.76      0.00      0.00     60.71
12:40:45 AM     all     23.56      0.00      8.90      0.00      0.00     67.54
12:40:47 AM     all     24.48      0.00     11.98      0.00      0.00     63.54
12:40:49 AM     all     25.64      0.00     10.26      0.00      0.00     64.10
12:40:51 AM     all     22.11      0.00     15.26      0.00      0.00     62.63
12:40:53 AM     all     27.55      0.00     13.78      0.00      0.00     58.67
12:40:55 AM     all     24.87      0.00     12.17      0.00      0.00     62.96
12:40:57 AM     all     24.23      0.00      8.76      0.00      0.00     67.01
12:40:59 AM     all     24.10      0.00     13.85      0.00      0.00     62.05
12:41:01 AM     all     24.87      0.00     13.20      0.00      0.00     61.93
12:41:03 AM     all     28.93      0.00     13.71      0.00      0.00     57.36
12:41:05 AM     all     24.75      0.00     13.37      0.00      0.00     61.88
12:41:07 AM     all     20.21      0.00     11.70      0.00      0.00     68.09
12:41:09 AM     all     20.94      0.00     12.57      0.52      0.00     65.97
12:41:11 AM     all     23.68      0.00     11.58      0.00      0.00     64.74
12:41:13 AM     all     27.37      0.00     10.53      0.00      0.00     62.11
12:41:15 AM     all     25.25      0.00     12.12      0.00      0.00     62.63
12:41:17 AM     all     22.96      0.00     11.73      0.00      0.00     65.31
12:41:19 AM     all     21.94      0.00     13.27      0.00      0.00     64.80
12:41:21 AM     all     22.40      0.00     10.94      0.00      0.00     66.67
12:41:23 AM     all     27.46      0.00     12.95      0.00      0.00     59.59
12:41:25 AM     all     28.19      0.00     11.70      0.00      0.00     60.11
12:41:27 AM     all     27.18      0.00      9.74      0.51      0.00     62.56
12:41:29 AM     all     22.80      0.00     12.44      0.00      0.00     64.77
12:41:31 AM     all     24.74      0.00     10.00      0.00      0.00     65.26
12:41:33 AM     all     22.75      0.00      8.99      0.00      0.00     68.25
12:41:35 AM     all     22.22      0.00     10.58      0.00      0.00     67.20
12:41:37 AM     all     21.99      0.00     12.04      0.00      0.00     65.97
12:41:39 AM     all     24.12      0.00     11.56      0.00      0.00     64.32
12:41:41 AM     all     21.24      0.00     11.40      0.00      0.00     67.36
12:41:43 AM     all     22.68      0.00     11.34      0.00      0.00     65.98
12:41:45 AM     all     24.49      0.00     11.73      0.00      0.00     63.78
12:41:47 AM     all     23.47      0.00     12.76      0.00      0.00     63.78
12:41:49 AM     all     25.98      0.00     11.76      0.00      0.00     62.25
12:41:51 AM     all     24.08      0.00     11.52      0.00      0.00     64.40
12:41:53 AM     all     23.37      0.00     11.41      0.00      0.00     65.22
12:41:55 AM     all     27.84      0.00      9.28      0.00      0.00     62.89
12:41:57 AM     all     21.88      0.00     13.02      0.00      0.00     65.10
12:41:59 AM     all     24.08      0.00     10.47      0.00      0.00     65.45
12:42:01 AM     all     25.13      0.00     10.77      0.00      0.00     64.10
12:42:03 AM     all     22.51      0.00     10.99      0.52      0.00     65.97
12:42:05 AM     all     24.48      0.00      9.38      0.00      0.00     66.15
12:42:07 AM     all     25.65      0.00     10.99      0.00      0.00     63.35
12:42:09 AM     all     24.48      0.00     10.94      0.00      0.00     64.58
12:42:11 AM     all     26.13      0.00     12.06      0.00      0.00     61.81
12:42:13 AM     all     28.57      0.00     10.71      0.00      0.00     60.71
12:42:15 AM     all     24.08      0.00      9.42      0.00      0.00     66.49
12:42:17 AM     all     23.88      0.00     13.43      0.00      0.00     62.69
12:42:19 AM     all     22.22      0.00     12.63      0.00      0.00     65.15
12:42:21 AM     all     24.08      0.00     10.99      0.00      0.00     64.92
